InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Categoria
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850,United Kingdom,Decoracion
536365,71053,WHITE METAL LANTERN,6,3.39,17850,United Kingdom,Decoracion
536366,22633,HAND WARMER UNION JACK,6,1.85,17850,United Kingdom,Regalos
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,13047,United Kingdom,Regalos
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,13047,United Kingdom,Regalos
536368,22960,JAM MAKING SET WITH JARS,6,4.25,13047,United Kingdom,Regalos
536370,22728,ALARM CLOCK BAKELIKE PINK,24,3.75,12583,France,Regalos
536370,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2.95,12583,France,Decoracion
536370,22629,SPACEBOY LUNCH BOX,24,1.95,12583,France,Regalos
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2.55,13748,United Kingdom,Decoracion
536373,20679,EDWARDIAN PARASOL RED,6,4.95,17850,United Kingdom,Decoracion
536373,21871,SAVE THE PLANET MUG,6,1.06,17850,United Kingdom,Regalos
536374,21258,VICTORIAN SEWING BOX LARGE,32,10.95,15100,United Kingdom,Decoracion
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,3.45,15291,United Kingdom,Decoracion
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2.55,15291,United Kingdom,Decoracion
536378,22386,JUMBO BAG PINK POLKADOT,10,1.95,14688,United Kingdom,Regalos
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,14688,United Kingdom,Regalos
C536501,22728,ALARM CLOCK BAKELIKE PINK,-24,3.75,12583,France,Regalos
